iter	Passed	Remaining
0	118	118084
1	119	59763
2	121	40333
3	123	30655
4	124	24835
5	126	20937
6	127	18156
7	130	16183
8	135	14880
9	137	13579
10	143	12933
11	145	11983
12	147	11209
13	149	10530
14	151	9938
15	157	9675
16	159	9205
17	161	8787
18	164	8470
19	166	8159
20	171	8011
21	174	7762
22	176	7517
23	178	7261
24	180	7030
25	182	6818
26	186	6719
27	188	6535
28	190	6377
29	192	6223
30	194	6066
31	195	5916
32	199	5836
33	201	5716
34	202	5596
35	205	5500
36	206	5387
37	208	5281
38	210	5180
39	214	5141
40	216	5059
41	218	4985
42	220	4911
43	222	4834
44	224	4756
45	228	4729
46	229	4663
47	232	4614
48	235	4566
49	236	4499
50	239	4457
51	243	4435
52	245	4393
53	247	4342
54	249	4293
55	253	4272
56	256	4245
57	258	4199
58	260	4160
59	263	4121
60	264	4073
61	266	4032
62	268	3989
63	273	3999
64	275	3958
65	277	3923
66	279	3888
67	281	3852
68	284	3833
69	287	3818
70	289	3786
71	291	3756
72	292	3720
73	295	3698
74	297	3664
75	300	3658
76	302	3627
77	304	3599
78	306	3571
79	308	3548
80	310	3520
81	312	3494
82	316	3491
83	318	3468
84	319	3442
85	322	3431
86	325	3412
87	327	3389
88	333	3410
89	335	3389
90	337	3370
91	339	3352
92	341	3333
93	346	3336
94	348	3321
95	351	3307
96	353	3288
97	354	3265
98	356	3243
99	361	3251
100	363	3233
101	365	3215
102	367	3202
103	369	3186
104	371	3169
105	377	3185
106	379	3167
107	383	3166
108	385	3151
109	387	3137
110	392	3145
111	398	3156
112	400	3142
113	402	3126
114	406	3128
115	409	3117
116	415	3132
117	418	3125
118	419	3108
119	423	3108
120	427	3102
121	428	3084
122	430	3070
123	432	3058
124	434	3044
125	439	3048
126	442	3038
127	445	3037
128	448	3025
129	450	3012
130	455	3020
131	457	3007
132	459	2994
133	461	2983
134	463	2971
135	465	2957
136	470	2963
137	472	2951
138	475	2942
139	476	2928
140	479	2920
141	480	2902
142	484	2906
143	487	2895
144	489	2884
145	491	2873
146	493	2862
147	495	2853
148	501	2863
149	503	2853
150	506	2847
151	522	2912
152	523	2900
153	527	2899
154	532	2903
155	534	2894
156	538	2889
157	540	2881
158	542	2871
159	547	2875
160	549	2860
161	550	2849
162	556	2859
163	559	2849
164	563	2850
165	565	2841
166	567	2832
167	569	2819
168	570	2807
169	573	2798
170	577	2798
171	578	2786
172	581	2778
173	583	2770
174	585	2758
175	586	2746
176	593	2758
177	595	2750
178	597	2739
179	599	2730
180	601	2720
181	604	2716
182	606	2708
183	608	2698
184	610	2690
185	612	2679
186	613	2668
187	615	2660
188	617	2649
189	621	2648
190	623	2641
191	625	2633
192	627	2625
193	630	2618
194	632	2610
195	637	2613
196	639	2606
197	641	2597
198	646	2602
199	648	2592
200	654	2599
201	656	2591
202	657	2582
203	659	2573
204	661	2566
205	663	2556
206	666	2553
207	668	2547
208	670	2538
209	672	2528
210	673	2519
211	675	2510
212	676	2501
213	683	2509
214	685	2503
215	687	2495
216	689	2487
217	690	2478
218	693	2474
219	700	2483
220	702	2476
221	704	2469
222	706	2462
223	708	2455
224	713	2457
225	715	2450
226	717	2443
227	723	2449
228	730	2458
229	734	2457
230	736	2450
231	738	2443
232	739	2435
233	744	2436
234	746	2429
235	748	2423
236	750	2414
237	751	2406
238	753	2399
239	758	2403
240	761	2398
241	763	2391
242	765	2383
243	766	2374
244	767	2366
245	769	2357
246	770	2350
247	773	2344
248	774	2336
249	776	2328
250	777	2321
251	779	2312
252	780	2305
253	782	2298
254	787	2302
255	789	2294
256	790	2286
257	792	2278
258	793	2270
259	795	2263
260	796	2255
261	797	2247
262	802	2247
263	803	2240
264	804	2232
265	806	2225
266	807	2217
267	809	2210
268	810	2202
269	812	2195
270	813	2188
271	815	2183
272	817	2175
273	818	2168
274	819	2160
275	820	2153
276	822	2146
277	824	2141
278	826	2134
279	829	2133
280	831	2127
281	833	2121
282	834	2114
283	836	2108
284	837	2101
285	841	2100
286	843	2096
287	845	2090
288	847	2083
289	848	2077
290	850	2072
291	851	2065
292	853	2059
293	858	2062
294	862	2061
295	864	2055
296	865	2049
297	867	2043
298	868	2036
299	873	2038
300	875	2032
301	876	2026
302	878	2020
303	879	2013
304	880	2007
305	882	2001
306	883	1994
307	887	1994
308	889	1990
309	891	1984
310	893	1978
311	894	1973
312	896	1967
313	897	1961
314	899	1955
315	903	1954
316	904	1948
317	905	1942
318	907	1936
319	909	1932
320	910	1926
321	912	1920
322	913	1914
323	917	1913
324	918	1908
325	920	1902
326	921	1897
327	923	1892
328	925	1886
329	926	1881
330	928	1876
331	933	1877
332	935	1873
333	936	1868
334	938	1862
335	939	1857
336	941	1852
337	942	1846
338	944	1841
339	947	1838
340	949	1833
341	950	1828
342	952	1824
343	954	1819
344	956	1815
345	959	1814
346	961	1809
347	962	1804
348	964	1799
349	965	1793
350	967	1788
351	968	1783
352	970	1778
353	971	1772
354	975	1772
355	976	1767
356	978	1762
357	979	1757
358	981	1752
359	982	1747
360	984	1742
361	985	1737
362	989	1736
363	992	1733
364	993	1728
365	994	1723
366	996	1718
367	998	1713
368	999	1709
369	1000	1704
370	1004	1703
371	1006	1698
372	1007	1693
373	1009	1689
374	1011	1685
375	1012	1680
376	1013	1675
377	1015	1670
378	1016	1666
379	1018	1661
380	1020	1657
381	1021	1652
382	1023	1648
383	1024	1643
384	1026	1639
385	1028	1635
386	1034	1638
387	1036	1634
388	1038	1630
389	1041	1628
390	1044	1626
391	1052	1632
392	1054	1628
393	1055	1624
394	1057	1619
395	1059	1615
396	1060	1611
397	1064	1610
398	1066	1606
399	1068	1602
400	1069	1598
401	1071	1593
402	1073	1589
403	1074	1585
404	1079	1585
405	1080	1581
406	1082	1577
407	1086	1576
408	1087	1572
409	1091	1570
410	1095	1569
411	1096	1565
412	1098	1561
413	1100	1557
414	1106	1559
415	1108	1556
416	1110	1552
417	1112	1548
418	1114	1545
419	1116	1541
420	1121	1542
421	1123	1538
422	1125	1535
423	1127	1531
424	1129	1528
425	1139	1535
426	1141	1531
427	1143	1527
428	1145	1524
429	1147	1521
430	1152	1522
431	1154	1518
432	1156	1514
433	1159	1512
434	1161	1508
435	1162	1503
436	1167	1504
437	1169	1500
438	1171	1496
439	1172	1492
440	1174	1488
441	1177	1485
442	1181	1485
443	1185	1484
444	1187	1481
445	1189	1477
446	1191	1473
447	1193	1470
448	1197	1469
449	1199	1466
450	1202	1463
451	1204	1460
452	1206	1457
453	1208	1453
454	1216	1457
455	1218	1454
456	1220	1450
457	1223	1448
458	1228	1447
459	1234	1449
460	1236	1446
461	1243	1448
462	1246	1445
463	1250	1444
464	1252	1440
465	1255	1438
466	1261	1439
467	1264	1437
468	1266	1434
469	1268	1430
470	1275	1432
471	1277	1429
472	1279	1425
473	1280	1421
474	1282	1417
